,id
194,6817492540569210118
195,6817451580263025926
196,6817445676239064326
197,6817240478283582725
198,6817210302225026309
199,6817904217584323845
200,6817862638031129862
201,6817805566656679173
202,6817783051137879302
203,6817600416558255365
204,6817586088245202181
205,6818308655281179910
206,6818212836326624518
207,6818207341607963910
208,6818193058614562054
209,6818179435590716677
210,6818177600574196998
211,6818173717953252614
212,6818168280130342150
213,6818142184865352965
214,6817964551913475333
215,6818592151149071622
216,6818582050870758661
217,6818567586175831301
218,6818564885220248837
219,6818554765614615813
220,6818550315940449542
221,6818529566282370310
222,6818527401392246022
223,6818516853741145349
224,6818321561569922309
225,6818981653885619461
226,6818904655171456261
227,6818898572222795013
228,6818724845044452614
229,6818723455991614726
230,6819377568660065541
231,6819369578129378565
232,6819312324017507589
233,6819259864284515589
234,6819122709574814981
235,6819789685418626310
236,6819763550655991045
237,6819760597060668678
238,6819734545261202693
239,6819692981004602629
240,6819619299347500293
241,6819449493491109126
242,6819446939008896261
243,6819440450936589573
244,6820117986997783814
245,6820065916554923269
246,6820021052312194310
247,6820005540203203846
248,6819956439201631493
249,6819850240091262214
250,6819804503676603653
251,6820490891262692613
252,6820436595917753605
253,6820400614447598854
254,6820392860022607110
255,6820387910487903494
256,6820224230307712261
257,6820193005983567110
258,6820191615584324870
259,6820190497772932357
260,6820189144325672198
261,6820877488609070342
262,6820843930276449542
263,6820832740150234374
264,6820793343245569286
265,6820790552708074758
266,6820582984110902534
267,6821286291423022342
268,6821252241412934918
269,6821173550062374149
270,6821165085394750726
271,6821162541356518661
272,6821147909917068550
273,6821108721104456965
274,6821062427786988806
275,6821029805366988038
276,6821648575781473541
277,6821609290801892614
278,6821577751779233030
279,6821564334850854149
280,6821561008042020102
281,6821533364344933637
282,6821516027042614533
283,6821510229851655429
284,6821506810151849222
285,6821310957516492038
286,6821297267060870406
287,6822024851872550149
288,6821971984860220678
289,6821949301875412230
290,6821905536557059333
291,6821894962507025670
292,6821886308265233669
293,6821670633194245381
294,6822325053322022149
295,6822322607740734725
296,6822314346606071046
297,6822267213903334662
298,6822258622639197445
299,6822231855748762886
300,6822064404805307654
301,6822771511754099974
302,6822675500536777990
303,6822633678657588485
304,6822632714034810118
305,6822614065169386757
306,6823132797058714886
307,6823108777047297286
308,6823083529203715333
309,6823054662862671109
310,6823030649184718086
311,6823028626452122886
312,6823025795020147974
313,6823015410611293446
314,6823009595590659334
315,6822967094200618245
316,6822957726461889797
317,6823467252860472582
318,6823424323672395014
319,6823400282492341509
320,6823371990519287045
321,6823370005627899141
322,6823356234876357894
323,6823346782957767941
324,6823242135857319174
325,6823207694065765637
326,6823196968999832837
327,6823804543021698309
328,6823801816166190342
329,6823763688722337029
330,6823761331422891269
331,6823713571256552709
332,6823528043919707398
333,6824233431044492549
334,6824199996653473029
335,6824165740258626822
336,6824091167798349062
337,6823920165122559237
338,6823904325908188421
339,6823895076725460230
340,6824603887924677894
341,6824601765166517510
342,6824575632291155205
343,6824521868314184965
344,6824511583591468293
345,6824503848309116166
346,6824309695767907589
347,6824275724250123526
348,6824984575660330245
349,6824914154239888646
350,6824882619507854597
351,6824873252897180933
352,6824727874038205701
353,6824690677411106054
354,6824645971213929733
355,6824637465102421253
356,6825240130480016646
357,6825048398178176261
358,6825001357947243781
359,6825738850271251718
360,6825708724661849350
361,6825653886917840133
362,6825647836101758213
363,6825613533426781445
364,6825474893438569733
365,6825388977172843782
366,6826095023151533318
367,6826088842068610310
368,6826072219756580102
369,6825823081601207557
370,6825779762976345349
371,6825767709813378310
372,6825762024266484998
373,6825741421237079301
374,6826354943566400773
375,6826319655720766726
376,6826179510208171270
377,6826124220527873286
378,6826112632563551494
